reg;naimko;regko;golofic;filial;dopof;vsego
Ивановская область;КБ «ЛОКО-Банк» (АО);2707;;;1;1
Ивановская область;ИНВЕСТТОРГБАНК АО;2763;;;8;8
Ивановская область;АО «Банк ФИНАМ»;2799;;;1;1
Ивановская область;ПАО АКБ «АВАНГАРД»;2879;;;3;3
Ивановская область;АО «НС Банк»;3124;;;1;1
Ивановская область;ПАО «Промсвязьбанк»;3251;;;5;5
Ивановская область;АО «Россельхозбанк»;3349;;1;12;13
Ивановская область;КБ «Ренессанс Кредит» (ООО);3354;;;1;1
Ивановская область;РНКО «ИНЭКО» (ООО);3520;1;;;1
Калужская область;АО ЮниКредит Банк;1;;;1;1
Калужская область;АО «БКС Банк»;101;;;1;1
Калужская область;ООО «ХКФ Банк»;316;;;3;3
Калужская область;Банк ГПБ (АО);354;;;1;1
Калужская область;АО «Почта Банк»;650;;;3;3
Калужская область;ПАО «Совкомбанк»;963;;;2;2
Калужская область;Банк ВТБ (ПАО);1000;;;5;5
Калужская область;ООО КБ «Калуга»;1151;1;;2;3
Калужская область;АО «АЛЬФА-БАНК»;1326;;;6;6
Калужская область;ООО банк «Элита»;1399;1;;3;4
Калужская область;ПАО Сбербанк;1481;;1;81;82
Калужская область;АКБ «ФОРА-БАНК» (АО);1885;;1;10;11
Калужская область;ПАО Банк «ФК Открытие»;2209;;;2;2
Калужская область;ТКБ БАНК ПАО;2210;;;2;2
Калужская область;ПАО РОСБАНК;2272;;;3;3
Калужская область;АО «Банк Русский Стандарт»;2289;;;1;1
Калужская область;АО АКБ «НОВИКОМБАНК»;2546;;;1;1
Калужская область;ПАО «Промсвязьбанк»;3251;;;2;2
Калужская область;АО «Газэнергобанк»;3252;1;;11;12
Калужская область;АО «Райффайзенбанк»;3292;;;1;1
Калужская область;АО «ПроБанк»;3296;;;1;1
Калужская область;АО «КОШЕЛЕВ-БАНК»;3300;;;3;3
Калужская область;АО «Россельхозбанк»;3349;;1;12;13
Калужская область;АО «СМП Банк»;3368;;;1;1
Костромская область;ООО «ХКФ Банк»;316;;;1;1
Костромская область;Банк ГПБ (АО);354;;;1;1
Костромская область;АО «Почта Банк»;650;;;1;1
Костромская область;ПАО «Совкомбанк»;963;1;;5;6
Костромская область;Банк ВТБ (ПАО);1000;;;6;6
Костромская область;АО «РЕАЛИСТ БАНК»;1067;;;1;1
Костромская область;ООО «Костромаселькомбанк»;1115;1;;2;3
Костромская область;АО «АЛЬФА-БАНК»;1326;;;2;2
Костромская область;ПАО Сбербанк;1481;;1;57;58
Костромская область;АО КБ «Модульбанк»;1927;1;;;1
Костромская область;ПАО Банк «ФК Открытие»;2209;;;1;1
Костромская область;ПАО РОСБАНК;2272;;;1;1
Костромская область;АО «Банк Русский Стандарт»;2289;;;1;1
Костромская область;ИНВЕСТТОРГБАНК АО;2763;;;1;1
Костромская область;ПАО АКБ «АВАНГАРД»;2879;;;1;1
Костромская область;ПАО «Промсвязьбанк»;3251;;;1;1
Костромская область;АО «Россельхозбанк»;3349;;1;10;11
Курская область;ООО «ХКФ Банк»;316;;;1;1
Курская область;Банк ГПБ (АО);354;;;3;3
Курская область;АО «Почта Банк»;650;;;4;4
Курская область;ПАО «Совкомбанк»;963;;;2;2
Курская область;Банк ВТБ (ПАО);1000;;;10;10
Курская область;АО «АЛЬФА-БАНК»;1326;;;3;3
Курская область;ПАО Сбербанк;1481;;1;91;92
Курская область;АО МОСОБЛБАНК;1751;;;1;1
Курская область;ПАО Банк «ФК Открытие»;2209;;;2;2
Курская область;ПАО РОСБАНК;2272;;;1;1
Курская область;АО «Банк Русский Стандарт»;2289;;;1;1
Курская область;ПАО АКБ «АВАНГАРД»;2879;;;2;2
